file,elut_time,integral,
RoboChem_Sample_014.dx,1.038,143486260.7,
RoboChem_Sample_014.dx,1.966,39161606.52,
RoboChem_Sample_014.dx,2.061,56649896.85,
RoboChem_Sample_014.dx,2.127,16724640423,
RoboChem_Sample_014.dx,2.185,96458293.87,
RoboChem_Sample_014.dx,2.217,234060789.5,
RoboChem_Sample_014.dx,2.289,73836496.46,
RoboChem_Sample_014.dx,2.532,1756022509,
RoboChem_Sample_014.dx,2.725,890197723.5,
RoboChem_Sample_014.dx,2.81,310999027.7,
RoboChem_Sample_014.dx,3.068,161444752.6,
RoboChem_Sample_014.dx,3.106,318391406.6,
RoboChem_Sample_014.dx,3.734,50179906.84,
RoboChem_Sample_015.dx,0.674,68043400.18,
RoboChem_Sample_015.dx,1.04,18823709.73,
RoboChem_Sample_015.dx,2.121,736554484.7,
RoboChem_Sample_015.dx,2.528,1358391191,
RoboChem_Sample_015.dx,2.635,18572239.69,
RoboChem_Sample_015.dx,3.039,43508843.42,
