Wavelength,Absorbance
200,359773427.5
202,362798365.0
204,361549045.5
206,329903029.0
208,275032521.5
210,228344097.5
212,195287110.5
214,171235741.0
216,152054827.0
218,134076301.5
220,116693392.0
222,101271011.0
224,87452742.0
226,75253971.5
228,65829808.0
230,59003949.5
232,54376869.5
234,51496734.0
236,49365930.5
238,47409618.5
240,44984455.5
242,41834086.5
244,38023391.5
246,33465212.0
248,28556836.0
250,23238203.5
252,17989789.0
254,13353193.0
256,9439309.0
258,6563536.5
260,4663208.0
262,3542856.5
264,2894388.0
266,2556166.5
268,2388286.5
270,2300836.0
272,2242778.5
274,2190601.5
276,2131773.5
278,2062599.0
280,1979400.0
282,1878501.5
284,1766560.5
286,1645674.5
288,1512904.5
290,1375989.0
292,1239243.0
294,1108527.5
296,983130.5
298,863686.0
300,744945.5
302,636374.0
304,536782.5
306,442465.5
308,359858.0
310,286895.0
312,224262.0
314,177799.0
316,139086.5
318,106235.0
320,75746.0
322,51025.5
324,33126.5
326,14830.0
328,-2988.0
330,-15663.5
332,-30214.0
334,-48327.5
336,-64343.0
338,-76873.0
340,-85622.5
342,-93983.0
344,-103863.5
346,-109161.5
348,-112728.0
350,-115538.5
352,-114901.0
354,-111024.0
356,-106749.0
358,-101171.0
360,-95074.5
362,-87968.0
364,-75997.5
366,-76218.5
368,-105769.0
370,-117328.5
372,-97710.5
374,-96551.0
376,-97344.5
378,-89844.5
380,-85308.5
382,-88176.5
384,-92009.0
386,-91634.5
388,-95991.0
390,-102755.0
392,-105276.5
394,-110695.0
396,-114539.5
398,-111297.5
400,-111701.0
402,-119801.5
404,-124559.5
406,-129164.0
408,-138576.5
410,-145995.0
412,-148793.0
414,-150753.0
416,-153824.5
418,-162821.5
420,-164887.0
422,-154571.0
424,-154375.0
426,-165431.0
428,-163152.0
430,-154773.0
432,-153983.0
434,-148992.5
436,-138181.5
438,-143572.5
440,-146083.5
442,-131869.0
444,-119319.5
446,-112709.5
448,-111399.5
450,-110577.5
452,-109403.0
454,-112264.0
456,-113858.5
458,-111698.5
460,-111374.5
462,-119745.0
464,-109010.5
466,-88376.5
468,-84963.0
470,-94497.5
472,-94281.0
474,-79734.5
476,-82898.0
478,-90744.5
480,-84601.5
482,-175969.5
484,-154536.5
486,-13309.5
488,15202.5
490,-70575.5
492,-83807.0
494,-86708.0
496,-85882.5
498,-80793.0
500,-85309.5
