Wavelength,Absorbance
200,162467436.0
202,165359207.0
204,162921147.5
206,154828939.5
208,141295436.5
210,124183636.0
212,106161865.0
214,88515592.5
216,72787095.0
218,58848300.5
220,47000355.5
222,38336213.0
224,32562899.5
226,29443408.0
228,28790087.5
230,30019859.5
232,32790492.5
234,36589681.0
236,41317732.0
238,46411766.0
240,51812030.5
242,57040778.0
244,61667395.5
246,65708486.5
248,68807435.0
250,71055240.5
252,72307074.0
254,72573056.5
256,71885768.0
258,70290613.0
260,67876858.5
262,64842684.0
264,61173191.5
266,57144225.0
268,52951737.5
270,48721462.5
272,44500252.5
274,40284850.0
276,36005277.5
278,31530319.5
280,26833793.5
282,22177205.5
284,17951073.5
286,14363206.5
288,11367252.0
290,8861982.5
292,6768441.0
294,5188599.0
296,4006615.5
298,3117598.0
300,2396925.0
302,1832090.0
304,1414624.0
306,1141500.0
308,982083.0
310,872166.5
312,783524.0
314,706807.0
316,633706.5
318,573076.5
320,519342.0
322,473983.0
324,437607.0
326,405348.0
328,378637.5
330,357909.0
332,339670.5
334,321620.5
336,305714.0
338,295323.0
340,284403.5
342,274676.0
344,267292.5
346,257634.0
348,250067.5
350,247306.5
352,242400.5
354,236186.5
356,232365.0
358,228244.0
360,224355.0
362,214105.0
364,200928.5
366,188754.5
368,172673.0
370,154232.0
372,145284.0
374,139767.0
376,133541.0
378,128393.5
380,124678.0
382,122039.0
384,117559.0
386,114223.5
388,111957.5
390,104864.0
392,98769.0
394,96699.5
396,95791.0
398,95251.0
400,95288.0
402,91586.0
404,87204.0
406,87031.5
408,85904.0
410,82272.0
412,82026.5
414,82223.5
416,78165.5
418,71813.0
420,66925.5
422,65777.0
424,68796.5
426,69031.5
428,65476.0
430,70348.0
432,72745.0
434,67302.0
436,62816.0
438,59470.0
440,57559.5
442,57380.0
444,57984.5
446,53723.0
448,50593.5
450,50702.0
452,49787.5
454,47353.0
456,42099.0
458,39797.0
460,43619.0
462,43259.5
464,41568.5
466,49043.0
468,52533.0
470,46561.5
472,40845.5
474,39835.0
476,38736.5
478,37647.0
480,36390.0
482,30023.0
484,25485.5
486,35005.5
488,45593.0
490,44512.0
492,44417.5
494,37774.0
496,29838.0
498,20633.0
500,23601.0
