Wavelength,Absorbance
200,277323127.0
202,300299776.0
204,325259875.5
206,348597361.5
208,369124892.5
210,386227296.0
212,399256933.0
214,412003172.0
216,425966582.5
218,440065355.5
220,455118311.0
222,468207426.0
224,477688652.5
226,479550841.0
228,470491626.0
230,429984585.5
232,302892235.0
234,202541426.0
236,138128506.5
238,104525578.5
240,92333855.5
242,95192456.0
244,105610274.0
246,119915072.0
248,135232909.0
250,151447731.0
252,168636203.5
254,184137409.5
256,192857562.5
258,199096655.5
260,208220321.0
262,203707475.0
264,184534669.5
266,165519124.5
268,141844144.0
270,110990609.0
272,78312046.0
274,49929562.0
276,30618006.5
278,20295117.5
280,15726868.0
282,13924476.5
284,13153121.5
286,12707614.5
288,12366818.0
290,12041253.0
292,11683185.5
294,11293063.0
296,10849521.5
298,10341762.0
300,9748751.0
302,9100508.0
304,8383093.0
306,7588659.5
308,6772405.0
310,5928130.5
312,5063869.5
314,4255248.5
316,3490170.5
318,2835798.5
320,2268407.5
322,1811829.5
324,1466800.0
326,1197949.0
328,1001083.0
330,866429.5
332,770457.5
334,702877.0
336,654834.0
338,621863.0
340,598646.0
342,577509.0
344,559279.0
346,545852.0
348,534923.0
350,528117.5
352,520866.0
354,510526.5
356,504003.0
358,501996.0
360,502176.5
362,493980.0
364,473820.0
366,452972.0
368,435607.5
370,418680.5
372,409558.5
374,402414.0
376,395051.5
378,387103.5
380,377565.0
382,373391.5
384,368177.0
386,360822.5
388,355905.0
390,350188.5
392,345418.5
394,341700.0
396,338650.0
398,334782.0
400,332978.5
402,330827.0
404,326955.0
406,326329.5
408,329461.0
410,329165.5
412,326647.5
414,324844.0
416,325597.5
418,327997.5
420,325197.0
422,317335.5
424,318519.5
426,328208.5
428,328607.5
430,321804.0
432,322674.5
434,333077.0
436,332542.5
438,330291.0
440,330417.5
442,325081.5
444,321273.0
446,324604.0
448,329110.0
450,325417.0
452,321275.0
454,324838.5
456,325026.5
458,319529.0
460,317541.0
462,318668.5
464,316909.0
466,317280.5
468,313223.5
470,313117.0
472,318505.0
474,308624.0
476,297166.5
478,298232.0
480,301916.5
482,274833.0
484,237693.0
486,240384.0
488,264326.5
490,274371.0
492,282606.0
494,270275.0
496,263157.0
498,268814.5
500,265042.5
