Wavelength,Absorbance
200,41676587.0
202,40411766.0
204,38429476.0
206,35772591.0
208,32358531.0
210,28288268.0
212,23877407.0
214,19475541.0
216,15738488.0
218,12718485.0
220,10362529.0
222,8748584.0
224,7731270.0
226,7222944.0
228,7156371.0
230,7418909.0
232,7968584.0
234,8733056.0
236,9714931.0
238,10817777.0
240,12043570.0
242,13299709.0
244,14493180.0
246,15638766.0
248,16638980.999999998
250,17521507.0
252,18232898.0
254,18745567.0
256,19075151.0
258,19197518.0
260,19104110.0
262,18805145.0
264,18297109.0
266,17601722.0
268,16741795.0
270,15734746.0
272,14588721.0
274,13305043.0
276,11901551.0
278,10429792.0
280,8964307.0
282,7578384.0
284,6317005.0
286,5199785.0
288,4231123.0
290,3413023.0
292,2728419.0
294,2204728.0
296,1806729.0
298,1515680.0
300,1306125.0
302,1170512.0
304,1076686.0
306,1003273.0
308,946220.0
310,891141.0
312,831125.0
314,766995.0
316,700525.0
318,642779.0
320,591636.0
322,547856.0
324,510554.0
326,477408.0
328,450871.0
330,429285.0
332,408341.0
334,388849.0
336,371354.0
338,356993.0
340,344625.0
342,331616.0
344,318239.0
346,307144.99999999994
348,297746.0
350,287908.0
352,278112.0
354,269341.0
356,259475.0
358,253867.0
360,249532.0
362,236482.0
364,224798.0
366,217781.0
368,207116.0
370,194072.0
372,188788.0
374,178495.0
376,168112.00000000003
378,164287.0
380,158305.0
382,152301.00000000003
384,144843.00000000003
386,138567.0
388,135930.99999999997
390,130789.0
392,130396.0
394,129911.0
396,123616.0
398,120850.0
400,120213.0
402,114290.0
404,108248.0
406,110754.0
408,111024.0
410,106673.0
412,106362.0
414,104291.0
416,96865.0
418,86936.0
420,78367.0
422,80255.0
424,85054.0
426,83855.0
428,78636.0
430,78045.0
432,80078.0
434,78533.0
436,72287.0
438,66852.0
440,66039.0
442,62127.0
444,58450.0
446,57327.0
448,58691.0
450,58994.0
452,55185.0
454,49838.0
456,42399.0
458,38257.0
460,40301.0
462,41178.0
464,42178.0
466,45627.0
468,44709.0
470,41824.0
472,42523.0
474,42573.0
476,39983.0
478,35685.0
480,29974.0
482,24552.0
484,24214.0
486,37040.0
488,48770.0
490,42518.0
492,37321.0
494,32148.0
496,28402.00000000003
498,22077.0
500,23667.00000000003
