Wavelength,Absorbance
200,130557851.00000001
202,126846595.0
204,123380917.0
206,120229685.0
208,117051631.0
210,113418133.0
212,108107711.0
214,99719399.0
216,89891172.0
218,80843441.0
220,73516647.0
222,68276104.0
224,64581485.0
226,62025553.0
228,60471060.0
230,59740622.0
232,59896252.0
234,60978443.0
236,63054353.0
238,65981899.0
240,69831843.0
242,74396826.0
244,79337951.0
246,84577804.0
248,89339318.0
250,93360521.0
252,96189764.0
254,97795394.0
256,98370152.0
258,98025734.0
260,96987690.0
262,95502944.0
264,93536207.0
266,91029556.0
268,87964600.0
270,84528892.0
272,80886138.0
274,76866139.0
276,72197046.0
278,67095180.0
280,62276553.0
282,58365543.0
284,55510891.0
286,53505535.0
288,52040917.0
290,50895506.0
292,49936665.0
294,49111878.0
296,48252388.0
298,47234987.0
300,46047380.0
302,44918546.0
304,43922245.0
306,42836881.0
308,41177643.0
310,38448551.0
312,34747066.0
314,31082009.0
316,27990374.0
318,25800752.0
320,24165152.0
322,22888826.0
324,21857531.0
326,20971595.0
328,20257299.0
330,19726353.0
332,19326580.0
334,19026546.0
336,18759647.0
338,18462364.0
340,18066763.0
342,17559748.0
344,16955485.0
346,16291449.0
348,15611923.0
350,14960683.0
352,14364327.0
354,13839759.0
356,13388343.0
358,13001428.0
360,12661241.0
362,12344155.0
364,12060769.0
366,11807054.0
368,11525605.0
370,11221137.0
372,10926607.0
374,10649496.0
376,10409900.0
378,10194698.0
380,9977807.0
382,9753605.0
384,9502091.0
386,9234022.0
388,8960314.0
390,8677342.0
392,8422459.0
394,8178435.0
396,7950375.0
398,7761753.0
400,7598102.0
402,7446174.0
404,7311341.0
406,7188214.0
408,7049934.0
410,6888140.0
412,6705059.0
414,6501369.0
416,6262287.0
418,5977597.0
420,5672164.0
422,5374814.0
424,5036747.0
426,4649311.0
428,4284799.0
430,3997275.0
432,3733098.0
434,3463968.0
436,3211939.0
438,2946354.0
440,2712581.0
442,2503440.0
444,2316155.0
446,2150540.0
448,1994944.0
450,1854995.0
452,1725266.0
454,1597228.0
456,1485736.0
458,1400440.0
460,1336936.0
462,1283309.0
464,1243393.0
466,1206521.0
468,1144844.0
470,1045401.0
472,931834.0
474,824671.0
476,711708.0
478,607038.0
480,516065.0
482,410514.0
484,348371.0
486,336262.0
488,314425.0
490,255725.0
492,216403.0
494,177457.0
496,147656.0
498,120291.0
500,98783.0
