Wavelength,Absorbance
200,78958476.0
202,78156837.0
204,75901762.0
206,72138935.0
208,67284813.0
210,61875474.0
212,55414360.0
214,47918492.0
216,41598548.0
218,36025866.0
220,29888669.0
222,25076803.0
224,22991241.0
226,23245571.0
228,24712596.0
230,26746728.0
232,29196740.0
234,31821201.0
236,34661407.0
238,37439783.0
240,40157289.0
242,42576981.0
244,44510128.0
246,45970415.0
248,46822237.0
250,47056069.0
252,46597083.0
254,45494098.0
256,43734328.0
258,41389399.0
260,38486228.0
262,35184289.0
264,31461450.0
266,27648415.0
268,23913431.0
270,20288636.0
272,16840830.0
274,13695958.0
276,10976211.0
278,8816732.0
280,7235274.0
282,6058336.0
284,5110344.0
286,4368446.0
288,3852982.0
290,3485641.0
292,3135058.0
294,2813676.0
296,2581131.0
298,2445314.0
300,2357989.0
302,2289373.0
304,2221227.0
306,2150555.0
308,2079626.0
310,1990256.0
312,1869795.0
314,1729276.0
316,1572751.0
318,1428534.0
320,1301387.0
322,1197685.0
324,1115209.0
326,1047792.0
328,994605.0
330,950299.0
332,911613.0
334,877184.0
336,847666.0
338,820220.0000000001
340,789250.0
342,759538.0
344,730771.0
346,701048.0
348,672639.0
350,648946.0
352,627703.0
354,607143.0
356,587172.0
358,570121.0
360,554774.0
362,531092.0
364,503277.0
366,482386.0
368,459812.0
370,433213.0
372,413408.0
374,396778.0
376,384304.0
378,372319.0
380,360818.0
382,351363.0
384,336689.0
386,322502.0
388,313878.0
390,300813.0
392,288624.0
394,282474.0
396,277002.00000000006
398,271252.0
400,265417.0
402,254548.0
404,243965.0
406,240794.0
408,237735.0
410,228886.0
412,221642.0
414,215501.0
416,203974.0
418,188725.0
420,176563.0
422,170918.0
424,170961.0
426,165249.0
428,151071.0
430,146072.0
432,143204.0
434,137440.0
436,127171.0
438,114312.0
440,110626.0
442,105044.0
444,97423.0
446,92714.0
448,91209.0
450,87540.0
452,83334.0
454,79111.0
456,68472.0
458,62955.0
460,64598.0
462,59588.0
464,59362.0
466,63493.0
468,60578.0
470,57002.0
472,52682.0
474,46786.0
476,45128.0
478,48640.0
480,42963.0
482,33913.0
484,33590.0
486,42056.0
488,46285.0
490,38904.0
492,40261.0
494,31892.0
496,24935.0
498,23094.0
500,23436.99999999997
