Wavelength,Absorbance
200,327504278.5
202,341494796.5
204,352833902.5
206,352017219.0
208,326181072.5
210,279331773.5
212,226442620.0
214,176003687.0
216,135386449.5
218,104743166.5
220,83191821.0
222,70577822.0
224,64746257.5
226,64487189.5
228,68702044.5
230,76401068.0
232,87300246.5
234,100356206.0
236,115831783.5
238,132275153.5
240,149786657.0
242,167053307.0
244,182822400.0
246,197260413.5
248,209235658.5
250,219134754.0
252,226241662.0
254,230305553.5
256,231338507.5
258,229084498.0
260,223572348.5
262,215354733.5
264,204456627.5
266,191572054.5
268,177096003.0
270,161315793.5
272,144404608.5
274,126413675.0
276,107452577.5
278,88167706.5
280,69790889.0
282,53454304.5
284,39689541.0
286,28559949.5
288,19969654.0
290,13680124.5
292,9161829.5
294,6162177.0
296,4129916.5
298,2758749.5
300,1872185.0
302,1399740.5
304,1146813.0
306,985792.5
308,874758.5
310,784499.5
312,703352.0
314,630054.0
316,559760.5
318,499268.5
320,447047.0
322,403473.5
324,365613.5
326,332133.0
328,304636.0
330,282699.0
332,263061.0
334,245754.0
336,232259.5
338,223096.5
340,214909.0
342,208181.5
344,201911.0
346,196509.0
348,193729.0
350,193121.5
352,190542.0
354,188956.5
356,187676.5
358,185730.5
360,186032.5
362,178693.5
364,162939.5
366,147611.5
368,133536.5
370,114596.5
372,103333.5
374,96802.5
376,91506.49999999997
378,90110.5
380,88083.0
382,83976.5
384,77814.5
386,73895.0
388,71550.0
390,68008.5
392,66178.5
394,64691.0
396,64527.5
398,65524.0
400,65299.5
402,60477.0
404,55372.5
406,60041.0
408,61482.0
410,54568.0
412,53389.5
414,56767.0
416,55727.0
418,48946.0
420,44853.5
422,46852.0
424,50490.5
426,51313.0
428,46787.0
430,47406.0
432,51224.0
434,57196.0
436,55876.5
438,48691.0
440,45199.0
442,43934.0
444,44846.5
446,45598.0
448,48509.0
450,48767.0
452,42889.5
454,42647.5
456,44575.0
458,39511.5
460,36791.5
462,38410.0
464,41020.5
466,41021.0
468,36555.5
470,33378.0
472,35596.0
474,36433.5
476,36126.0
478,33759.5
480,34723.5
482,22605.5
484,19493.0
486,44632.0
488,56516.0
490,37358.5
492,38167.0
494,34198.5
496,29260.5
498,29622.5
500,29602.5
