Wavelength,Absorbance
200,274865369.0
202,287576782.0
204,301343545.0
206,318823356.0
208,339627010.0
210,361342229.0
212,380984363.0
214,397243830.0
216,409582259.0
218,420516883.0
220,427878286.0
222,424208527.0
224,405403010.0
226,348774859.0
228,234527789.0
230,138924370.0
232,74274192.0
234,36665310.0
236,17057162.0
238,9777918.0
240,7987635.0
242,8276814.0
244,9260647.0
246,10558078.0
248,11901338.0
250,13359084.0
252,14970466.0
254,16267211.999999998
256,16913316.0
258,17609313.0
260,18552704.0
262,18091155.0
264,16082719.0
266,14201906.0
268,12254269.0
270,9538791.0
272,6527456.0
274,3752661.0
276,1771514.0
278,807569.0
280,410607.0
282,248206.0
284,172043.0
286,130891.0
288,108942.0
290,96598.0
292,93094.0
294,94304.0
296,98795.0
298,104532.0
300,109644.0
302,114748.0
304,113951.0
306,110429.0
308,108507.0
310,104529.0
312,101735.0
314,98459.0
316,92630.0
318,87693.0
320,85026.00000000003
322,84752.99999999997
324,84369.00000000003
326,81979.0
328,80956.0
330,80766.0
332,80281.0
334,79880.0
336,79593.0
338,81627.0
340,83769.0
342,85590.0
344,86325.0
346,84980.0
348,83804.0
350,84328.0
352,85420.0
354,87424.0
356,88605.0
358,88043.0
360,89733.0
362,83977.0
364,76933.0
366,71647.0
368,63527.0
370,56498.0
372,54347.0
374,51607.0
376,49820.0
378,50943.0
380,50499.0
382,50599.0
384,45737.0
386,40063.0
388,42578.0
390,43862.0
392,43278.0
394,42874.0
396,44709.0
398,45178.0
400,44991.0
402,43573.0
404,39528.0
406,43517.0
408,46899.0
410,44227.0
412,42746.0
414,45828.0
416,45948.0
418,39100.0
420,35470.0
422,39613.0
424,45407.0
426,43329.0
428,36622.0
430,46550.0
432,51840.0
434,40809.0
436,39658.0
438,40802.0
440,41816.0
442,43305.0
444,41657.0
446,39513.0
448,40373.0
450,42926.0
452,45568.0
454,40982.0
456,35043.0
458,31851.0
460,34496.0
462,38416.0
464,43418.0
466,45493.0
468,41678.0
470,44680.0
472,47090.0
474,42650.0
476,39585.0
478,46798.0
480,40388.0
482,3361.0
484,4158.0
486,44487.0
488,56005.0
490,30404.0
492,38738.0
494,34152.0
496,27257.0
498,29089.0
500,29613.0
